name,loc,sql_size,cols,tables,total_rows,total_cells
db2csv/pets_1/0025_dev,,15,4,1,5,16
db2csv/pets_1/0008_dev,,25,9,2,38,279
db2csv/pets_1/0011_dev,,8,4,1,4,13
db2csv/pets_1/0031_dev,,23,9,2,39,282
db2csv/pets_1/0019_dev,,43,12,3,73,323
db2csv/pets_1/0028_dev,,18,4,1,5,18
db2csv/pets_1/0035_dev,,25,9,2,39,282
db2csv/pets_1/0041_dev,,17,9,2,38,279
db2csv/pets_1/0030_dev,,13,4,1,5,16
db2csv/pets_1/0033_dev,,26,9,2,38,279
db2csv/pets_1/0022_dev,,83,12,3,42,294
db2csv/pets_1/0026_dev,,15,4,1,5,16
db2csv/pets_1/0023_dev,,14,4,1,4,14
db2csv/pets_1/0029_dev,,13,4,1,5,16
db2csv/pets_1/0032_dev,,23,9,2,39,282
db2csv/pets_1/0016_dev,,74,12,3,40,290
db2csv/pets_1/0006_dev,,13,4,1,5,16
db2csv/pets_1/0010_dev,,44,12,3,41,291
db2csv/pets_1/0037_dev,,32,9,2,38,280
db2csv/pets_1/0040_dev,,45,12,3,41,291
db2csv/pets_1/0027_dev,,18,4,1,5,18
db2csv/pets_1/0020_dev,,43,12,3,73,323
db2csv/pets_1/0005_dev,,13,4,1,5,16
db2csv/pets_1/0007_dev,,25,9,2,38,279
db2csv/pets_1/0015_dev,,74,12,3,40,290
db2csv/pets_1/0012_dev,,8,4,1,4,13
db2csv/pets_1/0038_dev,,32,9,2,38,280
db2csv/pets_1/0036_dev,,25,9,2,39,282
db2csv/pets_1/0039_dev,,45,12,3,41,291
db2csv/pets_1/0013_dev,,45,12,3,42,292
db2csv/pets_1/0002_dev,,12,4,1,4,13
db2csv/pets_1/0009_dev,,44,12,3,41,291
db2csv/pets_1/0001_dev,,12,4,1,4,13
db2csv/pets_1/0017_dev,,49,12,3,73,356
db2csv/pets_1/0042_dev,,17,9,2,38,279
db2csv/pets_1/0034_dev,,26,9,2,38,279
db2csv/pets_1/0014_dev,,45,12,3,42,292
db2csv/pets_1/0003_dev,,11,4,1,4,13
db2csv/pets_1/0018_dev,,49,12,3,73,356
db2csv/pets_1/0004_dev,,11,4,1,4,13
db2csv/pets_1/0021_dev,,83,12,3,42,294
db2csv/pets_1/0024_dev,,14,4,1,4,14
db2csv/journal_committee/0006_train,,11,3,1,10,28
db2csv/journal_committee/0012_train,,42,8,3,39,133
db2csv/journal_committee/0016_train,,15,5,2,19,51
db2csv/journal_committee/0017_train,,39,6,2,32,112
